# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
4.134466259323671875e+11 1.795658839337348938e+06 -1.788695087680664062e+08 -1.027378988632812500e+08 1.731526391401903005e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.968133197094843750e+11 1.800735254098415375e+06 -2.173303738271484375e+08 -1.259924794140625000e+08 1.736889771526718978e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.350953006510468750e+11 1.806248833544969559e+06 -2.602903245253906250e+08 -1.523711787519531250e+08 1.742661455150014954e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.138254309920343750e+12 1.812201813061475754e+06 -3.080066738046875000e+08 -1.821331821445312500e+08 1.748854886389716296e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.517075731322656250e+12 1.818581111191511154e+06 -3.607427263330078125e+08 -2.155438143496093750e+08 1.755463744112156099e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.983167255958625000e+12 1.825389744261980057e+06 -4.187941804023437500e+08 -2.529009215712890625e+08 1.762496155074361246e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.548956913448312500e+12 1.832613205127239227e+06 -4.824518165937500000e+08 -2.944975840263671875e+08 1.769940467085767537e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.227691704116562500e+12 1.840254953540563583e+06 -5.520474543535156250e+08 -3.406680362226562500e+08 1.777802774284024257e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.033435119287750000e+12 1.848299544036149979e+06 -6.278956418339843750e+08 -3.917293969785156250e+08 1.786068778580459533e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.981065852429375000e+12 1.856750560315847397e+06 -7.103615589472656250e+08 -4.480495226894531250e+08 1.794743558016665280e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.086274682048500000e+12 1.865592086530923843e+06 -7.997802540585937500e+08 -5.099662885546875000e+08 1.803811522514189826e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.365563410015500000e+12 1.874827526932001114e+06 -8.965469295761718750e+08 -5.778778315214843750e+08 1.813276987233747030e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
