# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
3.227691704012062500e+12 1.840254953546524048e+06 -5.520474543789062500e+08 -3.406680361972656250e+08 1.777802774286366301e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.033435119694187500e+12 1.848299544037818909e+06 -6.278956418242187500e+08 -3.917293969853515625e+08 1.786068778591791634e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.981065851220750000e+12 1.856750560320138931e+06 -7.103615590292968750e+08 -4.480495227509765625e+08 1.794743558010328328e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.086274682232125000e+12 1.865592086529970169e+06 -7.997802540468750000e+08 -5.099662885214843750e+08 1.803811522519399179e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.365563409864375000e+12 1.874827526931047440e+06 -8.965469296699218750e+08 -5.778778316250000000e+08 1.813276987232830841e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.836240949045875000e+12 1.884440941459894180e+06 -1.001014475742187500e+09 -6.521401153017578125e+08 1.823123920766615774e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.051642261240475000e+13 1.894435271836519241e+06 -1.113604174812500000e+09 -7.331776006357421875e+08 1.833355846436919877e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.242502534074325000e+13 1.904794972685813904e+06 -1.234684861878906250e+09 -8.213624366787109375e+08 1.843956915275051259e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.458176741245650000e+13 1.915522274384737015e+06 -1.364699419042968750e+09 -9.171409230253906250e+08 1.854929733787711710e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700716272844850000e+13 1.926602407862186432e+06 -1.504031619441406250e+09 -1.020900373455078125e+09 1.866259131341810105e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.972252097295950000e+13 1.938036686315059662e+06 -1.653141044851562500e+09 -1.133104012529296875e+09 1.877946655928361230e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.274994107409600000e+13 1.949811447411060333e+06 -1.812426249175781250e+09 -1.254154163820312500e+09 1.889978213404022856e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.611231162468550000e+13 1.961926933734178543e+06 -1.982358324964843750e+09 -1.384525771654296875e+09 1.902354174552765209e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.983330370948300000e+13 1.974370852811574936e+06 -2.163351189308593750e+09 -1.524636733451171875e+09 1.915061827070916072e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
